
# ====================================
read_data       Output/data.2T-SiC_Modelled
Reading data file ...
  orthogonal box = (0 0 0) to (87.2 87.2 87.2)
  1 by 2 by 2 MPI processor grid
  reading atoms ...
  64000 atoms
  reading velocities ...
  64000 velocities
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     0 = max # of 1-2 neighbors
     0 = max # of 1-3 neighbors
     0 = max # of 1-4 neighbors
     1 = max # of special neighbors
  special bonds CPU = 0.004 seconds
  read_data CPU = 0.329 seconds
group           Center type 1 2
41089 atoms in group Center
group           Perim  type 3 4
22911 atoms in group Perim
# ====================================
pair_style      gw/zbl
pair_coeff      * *  potential/SiC.gw.zbl   C  Si   C   Si    C
Reading gw/zbl potential file potential/SiC.gw.zbl with DATE: 2016-05-06

# -- OR ---
# pair_style      tersoff/zbl
# pair_coeff      * *  potential/SiC.tersoff.zbl   C  Si   C   Si    C

# ====================================
velocity        all create 300 5287287
thermo_style    custom step temp epair press ke atoms time
thermo          50
thermo_modify   lost warn

######################################
# DUMP

dump            DUMP1 all custom 50 Output/dump-2T-SiC-GW-${trial}.lammpstrj id type xs ys zs x y z vx vy vz
dump            DUMP1 all custom 50 Output/dump-2T-SiC-GW-1.lammpstrj id type xs ys zs x y z vx vy vz
# dump            DUMP2 all yaml   50 Output/dump-2T-SiC-GW-${trial}.yaml id type x y z vx vy vz
# dump_modify     DUMP2 time yes units yes thermo yes

# -------------------------------------
fix             N1 all    npt temp 300 300 0.1 iso 0 0 0.1
run             4000
Neighbor list info ...
  update every 10 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 5
  ghost atom cutoff = 5
  binsize = 2.5, bins = 35 35 35
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair gw/zbl, perpetual
      attributes: full, newton on
      pair build: full/bin
      stencil: full/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 19.12 | 19.12 | 19.12 Mbytes
   Step          Temp          E_pair         Press          KinEng        Atoms         Time     
      7200   299.07192     -407831.87      649.05964      2474.0785          64000   7.2          
      7250   300.27519     -407843.27      569.13906      2484.0325          64000   7.25         
      7300   300.31102     -407843.7       721.05222      2484.3289          64000   7.3          
      7350   300.29573     -407843.95      645.13764      2484.2025          64000   7.35         
      7400   300.16111     -407844.36      614.21629      2483.0888          64000   7.4          
      7450   302.68943     -407862.96      802.84124      2504.0044          64000   7.45         
      7500   299.87736     -407841.08      660.43528      2480.7414          64000   7.5          
      7550   301.54698     -407854.44      665.19324      2494.5534          64000   7.55         
      7600   298.99707     -407832.37      578.55836      2473.4593          64000   7.6          
      7650   299.86699     -407839.59      730.34386      2480.6557          64000   7.65         
      7700   301.35657     -407851.62      705.15356      2492.9783          64000   7.7          
      7750   300.53665     -407845.81      646.58424      2486.1954          64000   7.75         
      7800   300.50994     -407845.84      642.50091      2485.9745          64000   7.8          
      7850   298.55115     -407830.45      549.9916       2469.7703          64000   7.85         
      7900   299.87451     -407842.6       663.16017      2480.7179          64000   7.9          
      7950   302.33748     -407863.83      776.18071      2501.0929          64000   7.95         
      8000   297.51135     -407823.86      608.71167      2461.1686          64000   8            
      8050   303.29343     -407871.92      747.03099      2509.001           64000   8.05         
      8100   298.01536     -407829.24      624.46425      2465.338           64000   8.1          
      8150   302.31756     -407864.62      783.67351      2500.9281          64000   8.15         
      8200   298.74215     -407835.31      566.27792      2471.3504          64000   8.2          
      8250   298.1066      -407828.71      481.6244       2466.0929          64000   8.25         
      8300   302.47008     -407863.99      813.03396      2502.1898          64000   8.3          
      8350   299.82361     -407843.95      665.04649      2480.2969          64000   8.35         
      8400   298.56317     -407833.65      612.9937       2469.8698          64000   8.4          
      8450   300.41966     -407849.98      725.27221      2485.2276          64000   8.45         
      8500   299.97517     -407843.97      609.94701      2481.5506          64000   8.5          
      8550   299.76836     -407843.51      709.42342      2479.8398          64000   8.55         
      8600   302.02596     -407863.02      712.53653      2498.5158          64000   8.6          
      8650   301.54192     -407856.79      797.77604      2494.5115          64000   8.65         
      8700   294.44428     -407797.57      254.63816      2435.7962          64000   8.7          
      8750   304.97524     -407886.88      918.27032      2522.9138          64000   8.75         
      8800   298.87635     -407835.17      737.21487      2472.4606          64000   8.8          
      8850   298.86882     -407836.73      546.89873      2472.3983          64000   8.85         
      8900   299.32689     -407840.66      582.63773      2476.1877          64000   8.9          
      8950   301.06981     -407854.04      664.55977      2490.606           64000   8.95         
      9000   301.34392     -407855.69      811.20752      2492.8736          64000   9            
      9050   302.29934     -407863.41      838.76545      2500.7774          64000   9.05         
      9100   297.49013     -407824.82      584.63098      2460.993           64000   9.1          
      9150   299.0612      -407837.4       562.42926      2473.9897          64000   9.15         
      9200   299.24862     -407838.5       611.99643      2475.5402          64000   9.2          
      9250   300.81468     -407853.29      798.48973      2488.4954          64000   9.25         
      9300   296.86099     -407819.75      487.89988      2455.7885          64000   9.3          
      9350   304.32985     -407881.88      993.01478      2517.5748          64000   9.35         
      9400   301.14198     -407854.79      733.66625      2491.203           64000   9.4          
      9450   299.12759     -407837.95      650.9069       2474.539           64000   9.45         
      9500   301.09925     -407853.42      685.55342      2490.8496          64000   9.5          
      9550   300.94355     -407852.84      856.98632      2489.5615          64000   9.55         
      9600   297.65122     -407825.43      535.8483       2462.3257          64000   9.6          
      9650   299.81761     -407842.38      615.9811       2480.2472          64000   9.65         
      9700   301.60066     -407857.8       795.88683      2494.9975          64000   9.7          
      9750   299.10532     -407836.45      667.73092      2474.3548          64000   9.75         
      9800   300.2919      -407846.21      586.04347      2484.1707          64000   9.8          
      9850   301.80594     -407859.65      770.70744      2496.6956          64000   9.85         
      9900   300.84804     -407849.85      684.41994      2488.7714          64000   9.9          
      9950   299.8252      -407840.85      644.28604      2480.3099          64000   9.95         
     10000   299.47379     -407841.2       742.20283      2477.4029          64000   10           
     10050   301.771       -407858.46      675.08204      2496.4066          64000   10.05        
     10100   298.77267     -407835.3       661.30825      2471.6029          64000   10.1         
     10150   302.48309     -407865.71      925.84056      2502.2974          64000   10.15        
     10200   299.6157      -407840.67      601.17881      2478.5769          64000   10.2         
     10250   297.40183     -407823.07      529.22984      2460.2626          64000   10.25        
     10300   299.89984     -407844.84      736.67143      2480.9274          64000   10.3         
     10350   300.29961     -407848.94      678.22038      2484.2345          64000   10.35        
     10400   299.20886     -407838.53      594.27128      2475.2113          64000   10.4         
     10450   300.41089     -407847.99      729.57687      2485.1551          64000   10.45        
     10500   302.03341     -407860.96      696.28731      2498.5774          64000   10.5         
     10550   301.97598     -407860.53      873.96386      2498.1024          64000   10.55        
     10600   300.31936     -407845.72      605.30521      2484.3979          64000   10.6         
     10650   297.90069     -407826.14      577.3519       2464.3894          64000   10.65        
     10700   298.55301     -407831.7       536.41702      2469.7858          64000   10.7         
     10750   301.82022     -407858.58      776.0306       2496.8138          64000   10.75        
     10800   299.82419     -407840.98      693.7178       2480.3016          64000   10.8         
     10850   299.41615     -407838.84      652.89061      2476.9261          64000   10.85        
